Line,Station,Lat,Long,E_WGS84_Z7,N_WGS84_Z7,ALT,Az,Dur,Noise,rE_0011,rE_0022,rE_0045,rE_0090,rE_0180,rE_0360,rE_0720,rE_1440,rN_0011,rN_0022,rN_0045,rN_0090,rN_0180,rN_0360,rN_0720,rN_1440,iE_0011,iE_0022,iE_0045,iE_0090,iE_0180,iE_0360,iE_0720,iE_1440,iN_0011,iN_0022,iN_0045,iN_0090,iN_0180,iN_0360,iN_0720,iN_1440,SNI_0011,SNI_0022,SNI_0045,SNI_0090,SNI_0180,SNI_0360,SNI_0720,SNI_1440
0,2750,61.38111524,-139.2288897,594634,6806523,1195.2,7.9,200,0,,-0.041,-0.029,-0.015,-0.011,-0.017,-0.005,-0.023,,0.075,0.095,0.099,0.088,0.071,0.062,0.033,0.12,0.038,0.016,0.004,-0.004,-0.006,-0.009,0.013,0.129,0.067,0.04,0.002,-0.015,-0.016,-0.027,-0.02,45.6,183.7,434.8,825.3,908.1,929.5,237,69.6
0,3000,61.38269091,-139.225768,594796,6806703,1144,325.6,215,0,,-0.104,-0.059,-0.005,-0.001,-0.001,-0.044,-0.196,,-0.019,0.042,0.063,0.067,0.058,-0.003,-0.31,0.013,0.007,0.021,0.013,0.005,-0.006,-0.017,-0.04,0.081,0.057,0.044,0.017,-0.001,-0.014,-0.028,-0.103,65,127.9,292.3,648.7,1530.7,2375.8,1532,360.3
0,3000,61.38269091,-139.225768,594796,6806703,1144,278.3,246,0,,0.055,-0.008,0.012,0.016,0.018,-0.313,,,0.064,0.035,0.056,0.058,0.045,-0.135,,-0.199,0.038,0.023,0.016,0.01,-0.013,-0.136,-0.254,0.022,0.096,0.042,0.014,-0.001,-0.015,-0.082,-0.283,42.5,90.5,270.9,488.7,904.6,729.3,214,70.7
0,3250,61.38456212,-139.2225917,594960,6806916,1109.4,148.8,144,0,0.164,0.039,0.036,0.056,0.083,0.103,0.115,0.124,0.027,0.035,0.06,0.088,0.107,0.121,0.134,0.138,0.159,0.083,0.069,0.056,0.048,0.035,0.021,0.011,0.019,0.049,0.058,0.05,0.041,0.028,0.013,-0.008,31.6,138.9,360,885.5,1914.3,2248.5,996,159.8
0,3500,61.38620167,-139.2195593,595117,6807103,1109.7,266.6,158,0,,-0.018,0.006,0.029,0.059,0.081,0.088,0.088,,-0.041,0.003,0.043,0.079,0.109,0.131,0.149,0.052,0.083,0.071,0.06,0.052,0.034,0.017,0.008,0.122,0.071,0.07,0.073,0.07,0.062,0.037,0.034,18.2,210.4,522.1,1085.4,1356.5,1467.1,1493.8,611.4
0,3750,61.38791995,-139.2163723,595282,6807299,1057.3,299.1,179,0.1,,,-0.059,-0.008,0.022,0.047,0.059,0.059,,,-0.072,-0.003,0.05,0.101,0.148,0.192,,0.085,0.045,0.058,0.057,0.042,0.028,0.025,,0.073,0.086,0.099,0.108,0.107,0.1,0.014722222,11.6,137.2,312.3,778.2,1562.9,2208.2,2234.5,-0.078
0,4500,61.39302395,-139.2070742,595763,6807881,946.3,65.7,122,0,,-0.138,-0.104,-0.115,-0.078,-0.057,-0.022,0.028,,-0.177,-0.179,-0.171,-0.143,-0.105,-0.041,0.048,0.095,0.032,0.036,0.027,0.049,0.063,0.073,0.102,-0.005,0.013,0.024,0.05,0.077,0.099,0.12,0.13,35,99.7,241.3,427.3,493.2,543.5,305,82.7
0,4750,61.39463573,-139.2040042,595922,6808065,944,59.6,179,0.1,,-0.234,-0.121,-0.119,-0.107,-0.09,-0.068,-0.043,,-0.125,-0.187,-0.191,-0.184,-0.173,-0.144,-0.106,0.069,-0.001,0.011,0.018,0.03,0.041,0.049,0.05,0.019,-0.009,0.003,0.015,0.026,0.045,0.068,0.076,58.6,101.7,406.1,937.6,1913.8,3017.2,2748.2,1735
0,5000,61.39622003,-139.2008981,596083,6808246,919.1,274.4,236,0.1,,-0.113,-0.107,-0.098,-0.086,-0.071,-0.051,-0.033,,-0.182,-0.125,-0.085,-0.067,-0.053,-0.031,-0.002,-0.074,0.043,0.031,0.03,0.035,0.04,0.043,0.046,0.072,0.041,0.051,0.049,0.045,0.048,0.06,0.069,18.7,201.6,565,1408.5,3673.7,7281.9,10769.3,7775.3
0,5000,61.39622003,-139.2008981,596083,6808246,919.1,224.7,150,0.1,,-0.065,-0.111,-0.097,-0.085,-0.069,-0.052,-0.026,,-0.161,-0.103,-0.069,-0.054,-0.038,-0.023,0.012,-0.009,0.039,0.036,0.035,0.036,0.041,0.046,0.046,0.052,0.052,0.053,0.05,0.044,0.046,0.055,0.062,33.6,168.6,487.4,1128.8,2349.3,2483.2,1137.3,300.9
